,Month,PersonalQuota,NumberOfAuctions,WarningPrice,MinimumTranscationPrice
201601,1,9409,187533,80600,82200
201602,2,8363,196470,80600,83200
201603,3,8310,221109,80600,83100
201604,4,11829,256897,82800,85100
201605,5,11598,277889,82800,85000
201606,6,11546,275438,82800,84400
201607,7,11475,240750,84800,87200
201608,8,11549,251188,84800,86900
201609,9,12889,229544,84800,86500
201610,10,11621,213212,86800,88300
201611,11,11549,215424,86800,88600
201612,12,12261,219882,86800,88300
201701,1,12215,232101,86000,87600
201702,2,10157,251717,86000,88200
201703,3,10356,262010,86000,87800
